Name;Description;SerialNumber;VendorName
Martin MAC Aura XIP;LED wash moving head with IP65-rated aura effect ring;MAR-MAURA-001;Martin Professional
Robe PAINTE;280W LED spot/wash/beam hybrid moving head;ROB-PAINT-001;Robe Lighting
MA Lighting grandMA3 light;Full-size 8-universe lighting control console;MAL-GMA3L-001;MA Lighting
ETC ColorSource Spot Jr;Compact 4-colour RGBL LED profile spotlight;ETC-CSSJR-001;ETC
Shure QLXD24/SM58;Digital wireless handheld microphone system 800 MHz;SHU-QLXD-001;Shure
Sennheiser EW 500 G4;Professional wireless bodypack transmitter system;SEN-EW500-001;Sennheiser
Allen & Heath SQ-6;48-channel 96 kHz digital mixing console with 25 faders;ALH-SQ6-001;Allen & Heath
QSC K12.2;2000W 12-inch two-way powered loudspeaker;QSC-K122-001;QSC Audio
Prolyte H30V-L050;50 cm H30V ladder truss section;PRO-H30V-001;Prolyte
Sweettruss PK4/290-300;290 mm 4-point square truss 300 cm length;SWT-PK4-001;Sweettruss
GLP impression X4 Bar 20;1 m LED moving bar with 20 RGBW cells;GLP-X4B20-001;GLP
Elation Fuze Wash Z350;350W zoom LED wash moving head with 17-52 degree zoom;ELA-FWZ350-001;Elation
ADJ Hydro Beam X2;Dual-head 100W beam moving light with IP65 rating;ADJ-HBX2-001;ADJ
Smoke Factory Tour Hazer II;Professional oil-based tour-grade hazer;SMK-TH2-001;Smoke Factory
Astera AX3 LightDrop;Wireless battery-powered RGBWAUV LED bulb fixture;AST-AX3-001;Astera
RCF NX 985-A;3-way 15-inch active touring loudspeaker 2100W;RCF-NX985-001;RCF
HK Audio SONAR 115 Xi;1200W powered 15-inch touring subwoofer;HKA-S115-001;HK Audio
Blackmagic Design ATEM Mini Pro;4-HDMI live production switcher with recording and streaming;BMD-ATEM-001;Blackmagic Design
Cameo ZENIT W600 G2;600W RGBW outdoor LED flood fixture with IP66 rating;CAM-ZW600-001;Cameo
Klotz MY 206 XLR;6 m balanced studio and stage microphone cable;KLO-MY206-001;Klotz Audio
ChamSys MagicQ MQ70;48-universe touchscreen lighting control console;CHA-MQ70-001;ChamSys
Dynacord C2400FDi;2400W 2-channel power amplifier with integrated DSP;DYN-C2400-001;Dynacord
DPA d:vote 4099;Universal clip microphone for stage instruments;DPA-4099-001;DPA Microphones
König & Meyer 21070;Heavy-duty adjustable boom microphone stand;KUM-21070-001;König & Meyer
Zero 88 FLX S48;48-channel professional lighting control console;ZRO-FLXS48-001;Zero 88
