Name;Description
Lighting / LED Technology;Stage and architectural lighting fixtures including moving heads, wash lights, LED PAR cans and LED bars
Audio Technology;PA systems, powered speakers, subwoofers, mixers, amplifiers and audio signal processing
Studio Technology / Recording;Recording interfaces, studio monitors, preamps, microphones and DAW controllers
AV / Media Technology;Video projectors, LED walls, screens, video switchers and media servers
IT / EDP;Networking infrastructure, wireless systems and IT hardware for events
Stage Technology;Stage platforms, podiums, stage edges and modular stage construction systems
Cases / Racks / Hardware;Transport and flight cases, equipment racks and mounting hardware
Rigging;Hoists, chain motors, swivel eyes, shackles and load-bearing rigging hardware
Trusses;Aluminium truss systems, corners, base plates and truss accessories
Stands / Lifts;Speaker stands, lighting stands, tripods and elevating lifts
Cables / Connectors / Adapters;Audio, DMX, power and data cables, XLR connectors and signal adapters
Electrical Engineering;Power distribution, dimmer racks, multi-core cable systems and electrical accessories
Special Effects / SFX;Fog machines, hazers, CO2 jets, confetti cannons and pyrotechnic devices
Decoration;Event draping, backdrop systems, stretch fabrics and visual props
Spare Parts;Replacement lamps, gobos, fuses, cables and general service components
